,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
410,COTIUSDT,CHZUSDT,0.01,-4.08,-3.37,0.81,5
468,SCUSDT,FTTUSDT,0.04,-3.4,-3.37,0.0,5
277,GALAUSDT,THETAUSDT,0.0,-4.62,-3.37,0.04,4
639,1000BTTUSDT,UNIUSDT,0.0,-4.56,-3.37,0.0,4
463,SCUSDT,AXSUSDT,0.02,-3.74,-3.37,0.0,4
1009,FLMUSDT,QTUMUSDT,0.0,-4.37,-3.37,0.05,4
321,GALAUSDT,BATUSDT,0.0,-4.33,-3.37,0.14,4
840,DARUSDT,BNBUSDT,0.02,-3.72,-3.37,0.0,4
573,PEOPLEUSDT,AXSUSDT,0.0,-4.15,-3.37,0.0,4
567,PEOPLEUSDT,BCHUSDT,0.03,-3.58,-3.37,0.0,4
900,DARUSDT,SFPUSDT,0.03,-3.58,-3.37,0.82,4
1080,UNFIUSDT,UNIUSDT,0.0,-4.19,-3.37,0.98,4
939,FLMUSDT,EOSUSDT,0.0,-4.61,-3.37,0.18,4
418,COTIUSDT,FTMUSDT,0.02,-3.67,-3.37,0.32,4
334,GALAUSDT,AUDIOUSDT,0.0,-4.12,-3.37,0.17,4
409,COTIUSDT,AVAXUSDT,0.01,-4.01,-3.37,0.0,4
1157,USDCUSDT,SRMUSDT,0.0,-7.51,-3.37,1.01,4
366,GALAUSDT,LOOKSUSDT,0.0,-4.74,-3.37,0.16,4
752,LINAUSDT,DYDXUSDT,0.03,-3.51,-3.37,0.0,4
256,GALAUSDT,EOSUSDT,0.0,-5.09,-3.37,0.05,3
459,SCUSDT,MATICUSDT,0.03,-3.58,-3.37,0.01,3
519,XMRUSDT,EOSUSDT,0.01,-3.99,-3.37,126.79,3
870,DARUSDT,BITUSDT,0.03,-3.58,-3.37,0.47,3
273,GALAUSDT,SOLUSDT,0.0,-4.99,-3.37,0.0,3
95,XEMUSDT,HOTUSDT,0.04,-3.38,-3.37,21.14,3
751,LINAUSDT,SOLUSDT,0.01,-3.82,-3.37,0.0,3
739,BAKEUSDT,HNTUSDT,0.04,-3.4,-3.37,0.04,3
402,COTIUSDT,VETUSDT,0.01,-4.09,-3.37,3.88,3
384,COTIUSDT,BCHUSDT,0.0,-4.15,-3.37,0.0,3
262,GALAUSDT,ADAUSDT,0.0,-4.84,-3.37,0.12,3
815,MTLUSDT,EOSUSDT,0.01,-3.91,-3.37,1.12,3
631,1000BTTUSDT,EOSUSDT,0.0,-4.15,-3.37,0.0,3
1162,USDCUSDT,BITUSDT,0.0,-7.7,-3.37,1.38,3
242,IOSTUSDT,HOTUSDT,0.04,-3.42,-3.37,6.24,3
490,REQUSDT,VETUSDT,0.03,-3.59,-3.37,4.63,3
598,JASMYUSDT,EOSUSDT,0.01,-3.89,-3.37,0.01,3
539,XMRUSDT,VETUSDT,0.0,-4.23,-3.37,5482.38,3
457,SCUSDT,ADAUSDT,0.04,-3.43,-3.37,0.01,3
82,XEMUSDT,NEARUSDT,0.02,-3.61,-3.37,0.01,3
701,ZRXUSDT,KAVAUSDT,0.04,-3.46,-3.37,0.17,3
327,GALAUSDT,QTUMUSDT,0.0,-5.08,-3.37,0.01,3
956,FLMUSDT,SOLUSDT,0.0,-4.69,-3.37,0.01,3
1137,USDCUSDT,VETUSDT,0.0,-7.84,-3.37,34.43,3
761,LINAUSDT,KLAYUSDT,0.02,-3.74,-3.37,0.04,3
399,COTIUSDT,SOLUSDT,0.02,-3.74,-3.37,0.0,3
309,GALAUSDT,ALICEUSDT,0.0,-4.71,-3.37,0.02,3
765,LINAUSDT,HNTUSDT,0.02,-3.65,-3.37,0.0,3
911,DARUSDT,CTKUSDT,0.03,-3.51,-3.37,0.3,3
733,BAKEUSDT,KLAYUSDT,0.02,-3.64,-3.37,1.16,3
717,BAKEUSDT,SOLUSDT,0.04,-3.45,-3.37,0.01,3
706,ZRXUSDT,LINAUSDT,0.01,-3.79,-3.37,32.89,3
723,BAKEUSDT,AGLDUSDT,0.04,-3.45,-3.37,0.76,3
564,XMRUSDT,BITUSDT,0.01,-4.06,-3.37,220.25,3
209,SHIB1000USDT,SOLUSDT,0.0,-4.21,-3.37,0.0,3
703,ZRXUSDT,JSTUSDT,0.03,-3.51,-3.37,11.01,3
769,LINAUSDT,GMTUSDT,0.0,-4.15,-3.37,0.01,3
874,DARUSDT,C98USDT,0.01,-3.82,-3.37,0.64,3
997,FLMUSDT,FLOWUSDT,0.0,-4.51,-3.37,0.1,2
208,SHIB1000USDT,BNBUSDT,0.01,-4.1,-3.37,0.0,2
687,ZRXUSDT,CHZUSDT,0.02,-3.75,-3.37,2.54,2
1106,LUNA2USDT,BCHUSDT,0.02,-3.74,-3.37,0.01,2
559,XMRUSDT,SRMUSDT,0.02,-3.64,-3.37,160.51,2
882,DARUSDT,FLOWUSDT,0.02,-3.73,-3.37,0.15,1
110,AAVEUSDT,FLOWUSDT,0.05,-3.37,-3.37,44.29,1
84,XEMUSDT,FLOWUSDT,0.01,-3.89,-3.37,0.02,1
67,XTZUSDT,FLOWUSDT,0.02,-3.65,-3.37,0.81,1
601,XNOUSDT,EOSUSDT,0.02,-3.63,-3.37,0.82,1
330,GALAUSDT,YGGUSDT,0.0,-5.04,-3.37,0.07,1
382,COTIUSDT,EOSUSDT,0.01,-3.8,-3.37,0.09,1
456,SCUSDT,BCHUSDT,0.02,-3.71,-3.37,0.0,1
758,LINAUSDT,QTUMUSDT,0.03,-3.48,-3.37,0.0,1
759,LINAUSDT,YGGUSDT,0.04,-3.43,-3.37,0.01,1
315,GALAUSDT,FLOWUSDT,0.0,-4.68,-3.37,0.03,1
762,LINAUSDT,KNCUSDT,0.05,-3.37,-3.37,0.01,1
756,LINAUSDT,ILVUSDT,0.03,-3.57,-3.37,0.0,1
766,LINAUSDT,RAYUSDT,0.03,-3.54,-3.37,0.01,1
438,STORJUSDT,CHZUSDT,0.03,-3.48,-3.37,4.94,1
1177,USDCUSDT,FLOWUSDT,0.0,-6.04,-3.37,0.45,1
755,LINAUSDT,ALICEUSDT,0.02,-3.7,-3.37,0.0,1
369,GALAUSDT,HNTUSDT,0.0,-5.07,-3.37,0.01,1
725,BAKEUSDT,FLOWUSDT,0.02,-3.75,-3.37,0.16,1
754,LINAUSDT,AGLDUSDT,0.02,-3.65,-3.37,0.02,1
474,CTKUSDT,EOSUSDT,0.03,-3.49,-3.37,0.89,1
475,CTKUSDT,SOLUSDT,0.0,-4.88,-3.37,0.03,1
750,LINAUSDT,EOSUSDT,0.03,-3.53,-3.37,0.01,1
612,SUNUSDT,EOSUSDT,0.01,-4.1,-3.37,0.0,1
223,IOSTUSDT,FLOWUSDT,0.04,-3.4,-3.37,0.01,1
845,DARUSDT,VETUSDT,0.03,-3.59,-3.37,11.74,1
724,BAKEUSDT,ALICEUSDT,0.05,-3.37,-3.37,0.12,1
