,ENJUSDT,FTMUSDT,Spread,Zscore
107,0.614,0.332,-0.000200000000000089,-0.19424536614779703
108,0.623,0.3366,0.00028999999999990145,-0.020450250076723794
109,0.6231,0.337,-0.0003500000000000725,-0.39170925349310826
110,0.6218,0.3389,-0.005164999999999975,-2.3546065568826666
111,0.625,0.3396,-0.0032600000000000406,-1.3680671418256527
112,0.6272,0.3407,-0.00309500000000007,-1.1767225381042983
113,0.6285,0.3424,-0.0049400000000000555,-1.6933906694925283
114,0.633,0.3411,0.0019649999999999945,0.8525475278296772
115,0.6345,0.3437,-0.0013450000000000406,-0.34860238582583825
116,0.6405,0.3456,0.0011399999999999189,0.5338718975124068
117,0.641,0.3445,0.003674999999999984,1.3867410056431189
118,0.645,0.3428,0.010820000000000052,2.86177799367031
119,0.646,0.3423,0.012745000000000006,2.593418344424676
120,0.6391,0.3408,0.008619999999999961,1.4889501392201165
121,0.6408,0.3419,0.008284999999999987,1.3572030620905478
122,0.6263,0.3389,-0.0006650000000000267,-0.44728543640957236
123,0.6293,0.3374,0.005109999999999948,0.6993457491776479
124,0.6495,0.3514,-0.0005900000000000905,-0.45767520754682545
125,0.651,0.3512,0.0012799999999999478,-0.08407992225441374
126,0.6528,0.3542,-0.0024699999999999722,-0.7960992077890993
127,0.6548,0.3525,0.002675000000000094,0.20629381794817836
128,0.6607,0.3591,-0.003635000000000055,-0.9999587193364049
129,0.6563,0.3616,-0.012660000000000005,-2.2634899954324292
130,0.647,0.3575,-0.014375000000000027,-2.1306838378907824
131,0.6455,0.353,-0.007550000000000057,-1.0980277344359124
132,0.644,0.3476,0.0009399999999999409,0.0951648207391348
133,0.6455,0.3516,-0.0049600000000000755,-0.7396439043378112
134,0.6493,0.3508,0.00031999999999998696,-0.01806248235996704
135,0.6509,0.3475,0.00802500000000006,1.0329972841088486
136,0.6484,0.3475,0.005525000000000002,0.6273789473355886
137,0.6576,0.3587,-0.005995000000000084,-0.922178092148574
138,0.661,0.3602,-0.005369999999999986,-0.7683845400174911
139,0.7075,0.362,0.037800000000000056,3.3445123620450206
140,0.6657,0.3572,0.004879999999999884,0.3485821415420911
141,0.6793,0.3606,0.012190000000000034,1.0101738332730938
142,0.6771,0.3589,0.013135000000000008,1.05643481971607
143,0.6764,0.3579,0.014284999999999992,1.0646369527884498
144,0.682,0.3577,0.020255000000000023,1.4470978744655179
145,0.6737,0.3555,0.016024999999999956,1.0003189081537431
146,0.6802,0.3616,0.011240000000000028,0.5649585340829394
147,0.6828,0.3673,0.003294999999999937,-0.10487830094452794
